node_id	osm_name	lat	lon	watercourse	feature_id	feature_name	metres
547288692	Mingo Falls	35.5318253	-83.2749009	Mingo Creek	324	Mingo Falls	18
547288708	Upper Sols Creek Falls	35.2635539	-83.0191497	Sols Creek	345	Upper Sols Creek Falls	8
547290106	Yanu Branch Cascade	35.534363	-83.563447	Yanu Branch			
547343685	Paradise Falls	35.2245934	-83.0055034	Wolf Creek			
547351412	Jonas Creek Falls	35.51973	-83.555653	Jonas Creek	1111	Jonas Creek Falls	88
547352017	Onion Cliff Falls	35.214678	-83.120816	Trout Creek			
547356231	Gage Creek Falls	35.292342	-82.9749928	Gage Creek	652	Gage Creek Falls	23
547357400	Betsy Falls	35.217689	-83.132694	Betsy Branch			
547362689	Indian Creek Falls	35.4727291	-83.4272678	Indian Creek	352	Indian Creek Falls	16
547364491	Mac's Falls	35.1551709	-83.0039788	Greenland Creek	1256	Mac’s Falls	91
547370619	Soco Falls	35.4924142	-83.1696647	Soco Creek	325	Soco Falls	20
547373684	Will Falls	35.180611	-83.066808	Robinson Creek			
547380992	Granny Burrell Falls	35.162806	-83.0288043	Panthertown Creek	1266	Granny Burrell Falls	1
547417340	Doe Branch Falls	35.210163	-83.008829	Doe Branch			
547440405		35.4356857	-83.1917217	Fisher Creek			
547444856	Schoolhouse Falls	35.1630198	-83.0067326	Greenland Creek	391	Schoolhouse Falls	31
548338400	Lower Cold Branch Falls	35.345958	-83.992493	Cold Branch	721	Lower Cold Branch Falls	9
548352079	Bald River Falls	35.324344	-84.17775	Bald River			
548440832	Yellow Creek Falls	35.4193424	-83.8859164	Yellow Creek	720	Yellow Creek Falls	7
548553523	Falls Branch Falls	35.355347	-84.064622	Falls Branch			
548757136	Blue Boar Falls	35.287883	-84.008173		817	Hooper Falls	20
548846899	Upper Cold Branch Falls	35.347769	-83.99593	Cold Branch	722	Upper Cold Branch Falls	15
549871257	Dennis Cove Waterfall	36.252764	-82.099983	Laurel Fork			
549908998	Laurel Falls	36.272754	-82.134928	Laurel Fork			
549919303	Jones Falls	36.2029874	-81.9822407	Jones Branch	421	Jones Falls	42
550014491	Hebron Colony Falls	36.1549901	-81.7355251	Boone Fork	376	Hebron Colony Falls	33
550015635	Blue Hole Falls	36.4327958	-82.0721333	Mill Creek			
550330640	Laurel Creek Falls	36.2524514	-81.8528432	Laurel Creek			
550437632		35.1774116	-82.6201468	Little River			
550539230	Dudley Falls	35.9625609	-82.8673439	Paint Creek			
550548990	Hickey Fork Falls	35.9954913	-82.7177038	West Prong Hickey Fork	826	West Prong Hickey Fork Falls	38
550593816		36.0201209	-82.6608973	Whiteoak Flats Branch	755	Whiteoak Flats Falls	32
550611334	Glassmine Falls	35.7354354	-82.331273	Glassmine Branch			
550685670	Upper Little Moore Cove Falls	35.312486	-82.778636		955	Upper Little More Cove Falls	20
550685674	Little Moore Cove Falls	35.3120064	-82.778603		505	Little Moore Cove Falls	10
550692310		35.6387543	-82.4158795	Long Branch			
550709339	Cove Creek Falls	35.2940746	-82.8174565	Cove Creek	313	Cove Creek Falls	33
550739493	Gemini Falls	35.281903	-82.854004		682	Gemini Falls	43
550759948	Cliff Dwellers Cascade	35.835889	-82.968455	Trail Fork			
550773263	Claypole Branch Falls	35.1109872	-82.8233215	Claypole Branch			
550781122	Cathey's Creek Falls	35.2262806	-82.8026342	Catheys Creek	340	Catheys Creek Falls	6
550787131	Hidden Falls	35.314795	-82.787452	Looking Glass Creek	502	Unnamed Waterfall on Looking Glass Creek #2	4
550788376	Log Hollow Falls	35.3238412	-82.8077333	Log Hollow Branch	377	Waterfall on Log Hollow Branch	14
550805920	Slick Rock Falls	35.293222	-82.797477		583	Lower Slick Rock Falls	3
550827169		35.196522	-82.701083	Hogsed Creek			
550857362	Stick Biscuit Falls	35.184754	-82.720271				
550857522	Wintergreen Falls	35.1978739	-82.5835968	Grassy Creek	506	Wintergreen Falls (DuPont)	17
550872643		35.8730193	-82.8850898	East Fork Shut-In Creek			
550883832	Bernie's Falls	35.1976373	-82.9300897	Miser Creek	545	Bernie's Falls	30
550885043	Johnny Tiller Falls	35.3895891	-82.6907396	Slate Rock Creek			
550895518	Trillium Falls	35.9964748	-82.6274631		825	Trillium Falls	10
550901671	Devil's Canyon Falls	35.1691564	-82.9571742	Fork Creek	979	Devil's Canyon	14
550901698	Stillhouse Falls	35.1690311	-82.9566948	Fork Creek	979	Devil's Canyon	35
550901727	Elmo Falls	35.1707218	-82.9540016	Fork Creek	716	Elmos Falls	13
550920025	Twin Falls	35.336757	-82.7603558	Henry Branch	379	Twin Falls (Henry Branch)	98
550933971	Laughing Falls	35.2951973	-82.7020875	South Prong Turkey Creek	954	Laughing Falls	18
550935883	Upper Beetree Fork Falls	35.252038	-82.891783	Beetree Fork			
550940494	Shoal Creek Falls	35.2238915	-82.8612659	Shoal Creek	481	Shoal Creek Falls	6
550964070	Wolf Creek Falls	35.8664529	-82.9298358	Wolf Creek			
550967295	Laurel Fork Falls	35.2790611	-82.8575552	Laurel Fork	683	Laurel Fork Falls	14
550972910	Avery Creek Falls	35.3203611	-82.7531889	Avery Creek			
550975787	Sutton Falls	35.3050411	-82.6902303	Silver Creek			
550987622	Spice Cove Falls	35.1706416	-82.8468466				
551034809	Toms Spring Falls	35.2887377	-82.8268974		336	Lee Falls	19
551055828	Douglas Falls	35.720936	-82.37429		401	Douglas Falls	28
551657590	Grogan Creek Falls	35.271841	-82.80867	Grogan Creek			
