1081	Waterfall #7 on Chucky Branch	1	75
1082	Kinney Branch Falls	1	75
1083	Middle Kinney Branch Falls	1	75
1084	Upper Kinney Branch Falls	1	75
1085	Narrow Canyon Falls	1	75
1088	Duality Falls	1	75
1089	Little Bully Falls	1	75
1090	Big Bully Falls	1	75
1091	Upper Trillium Valley Falls	1	75
1092	Middle Trillium Valley Falls	1	75
1093	Lower Trillium Valley Falls	1	75
1213	Upper Fisher Hole Falls	1	75
1214	Lower Fisher Hole Falls	1	75
1215	Daniel Cove Falls	1	75
1216	Big Laurel Falls (TH)	1	75
1217	Virgin Falls (TN)	1	75
1220	Big Branch Falls (TN)	1	75
1222	Right Prong Ledge Creek Falls	1	75
1223	Chesquaw Branch Falls	4	75
1224	Right Prong South Toe River Falls	1	75
1227	Grassy Ridge Branch Falls	1	75
1228	Baskins Creek Falls	4	75
1236	Old Flats Falls	4	75
1240	Lower Waterfall on Mill Creek	3	75
1241	Twenty Mile Cascades	3	75
1243	Uppermost Waterfall on Road Prong	1	75
1244	Upper Waterfall on Road Prong	1	75
1245	Middle Waterfall on Road Prong	1	75
1246	Lower Waterfall on Road Prong	1	75
1183	Slate Rock Creek Trib Falls	3	75
1184	Queen Creek Falls	1	75
1185	Lower Queen Creek Falls	1	75
1186	Middle Queen Creek Falls	2	75
1187	Upper Queen Creek Falls	1	75
1188	Lower Boomer Inn Falls	1	75
1190	Upper Twin Falls on Henry Branch (Ugly Twin trib)	1	75
1191	Upper Falls Amos Creek (My Name)	1	75
1192	Cave Falls Amos Creek (My name)	1	75
1193	Amos Creek Falls (My name)	1	75
1194	Lower Falls Amos Creek (My name)	1	75
1195	Crevasse Falls Amos Creek (My name)	1	75
1196	Last Falls Amos Creek (My name)	1	75
1197	Upper Bestos Falls	1	75
1200	Coley Creek Falls	1	75
1202	Radder Creek Falls	3	75
1204	Middle John Neal Falls	1	75
1205	Upper John Neal Falls	1	75
1206	945 Big Cliff Falls etc. (SC)	1	75
1207	Unexpected Falls (US178	6	75
1209	Mill Branch Falls (281N)	1	75
1210	Blythe Shoals (SC)	5	75
1211	Shining Trail Falls	1	75
1212	Upper Maple Springs Branch Falls	1	75
755	Whiteoak Flats Falls	1	75
760	Hole in the Rock Falls	3	75
762	Cascade on the Nantahala	2	75
763	Falls Upstream from Whiteoak Falls	1	75
766	Glen Marie Falls	3	75
767	The Cascades (Glenlevit Falls)	1	75
770	Waterfalls Park Falls	3	75
771	Buckeye Falls	2	75
772	Watauga Falls	2	75
773	Laurel Falls	1	75
776	Waterfall in Bullpen Cove	1	75
780	Splash Dam Falls	1	75
793	Teacup Falls	1	75
796	Cascade on Edgemont Road	3	75
800	Lower slide on Cane Creek	3	75
801	Stepped Falls on Cane Creek	2	75
802	Lower Cane Creek Falls	1	75
803	Middle Cane Creek Falls	1	75
809	Waterfall on Parker Creek	1	75
826	West Prong Hickey Fork Falls	3	75
831	McGilliard Falls	7	75
834	Middle Prong Falls	1	75
839	Midnight Hole Falls	3	75
1248	998 Lower Lynn Camp Falls	1	75
1249	Waterfall on Trib of Middle Prong	1	75
1252	Bean Creek Falls	1	75
1255	Lower Limberpole Falls	1	75
1268	Toms Falls	1	75
1270	Highlands Falls (Highlands Falls Country Club)	1	75
1303	Upper Falls (Fall Creek)	1	75
1304	Main Falls (Fall Creek)	1	75
1305	Third Falls (Fall Creek)	1	75
1306	Upper Big Cliff Falls (SC)	1	75
1307	Split Falls (Laurel Fork SC)	1	75
1095	Bonita Falls (SC)	0	75
1096	Abbey Falls (SC)	0	75
1097	Deflection Falls (SC)	0	75
1098	Overhang Falls (SC)	1	75
1101	Long Branch Falls (Mills River)	4	75
1102	Waterfall on Smith Creek (SC)	2	75
1108	Upper Raven Cliff Falls (SC)	1	75
1112	Upper Shoal Creek Falls	1	75
1113	Shoal Creek Falls	0	75
1114	Even Lower Greasy Cove Falls	1	75
1116	Green Party Falls	0	75
1118	Upper Blackberry Falls	1	75
1119	Lower Blackberry Falls	3	75
1120	Waterfall on trib above Portage Left	1	75
1127	Lower Basin Creek Falls	1	75
1128	Upper Basin Creek Falls	1	75
1131	Upper Woodfin Cascades	0	75
1132	Old Dam Falls	1	75
1133	Renzulli Falls (Bracken Preserve)	0	75
1134	Tower Falls	1	75
1135	Lower Thompson Trib Falls (Lower Christmas Falls)	0	75
1137	Boomer Inn Falls (2nd Floor)	1	75
1138	Boomer Inn Falls (3rd Floor)	1	75
1139	Boomer Inn Falls (4th Floor)	1	75
1140	Boomer Inn Trib Falls	1	75
997	Climbing Wall Falls	3	75
998	Bull Sluice	3	75
1000	Crevasse Falls (Split Rock Falls)	1	75
1002	Waterfall on Lost Cove Creek	3	75
1003	Trackside Falls (Lost Cove)	5	75
1004	Homer Falls (SC)	3	75
1007	Riverside Falls (Mills River)	3	75
1009	Waterfall on Trib of Shuck Ridge Creek	2	75
1010	Lulu Falls	1	75
1011	Upper Lulu Falls	1	75
1012	Lanning Branch Falls	0	75
1013	Laurie's Falls	3	75
1014	Coon Hollow Falls	3	75
1016	Upper Big Bearpen Falls	1	75
1017	Rough Rock Falls	0	75
1019	Homestead Falls	1	75
1020	Upper Discovery Falls	1	75
1022	Upper Blue Wall Falls	5	75
1027	Lower Crane Creek Falls	1	75
1028	Mountain Cat Falls	1	75
1030	Vespa Falls	1	75
1032	Waterfall #1 on Wattacoo Creek	3	75
1033	Waterfall #2 on Wattacoo Creek	1	75
1056	Puny Falls (waterfall on trib of Brier Creek)	0	75
1094	Louie Falls (SC)	0	75
522	Waterfall on Cold Mountain Branch	0	75
533	Falls on Billy Branch	0	75
585	Milton Bradley Falls	0	75
593	Upper Brasstown Falls	0	75
596	FR225 Falls	0	75
597	Big Bend Falls	0	75
604	Glen Falls Downstream	0	75
605	Waterfall on Trib of Brooks Creek	0	75
627	Middle Waterfall in Cherry Cove	0	75
637	Turley Falls	0	75
657	Sugar Creek Falls	0	75
